league,team,id
french-ligue-one,Amiens,3335
french-ligue-one,Angers,7868
french-ligue-one,Bordeaux,159
french-ligue-one,Brest,6997
french-ligue-one,Dijon,3170
french-ligue-one,Lille,166
french-ligue-one,Lyon,167
french-ligue-one,Marseille,176
french-ligue-one,Metz,177
french-ligue-one,Monaco,174
french-ligue-one,Montpellier,274
french-ligue-one,Nantes,165
french-ligue-one,Nice,2502
french-ligue-one,Nîmes,7730
french-ligue-one,PSG,160
french-ligue-one,Reims,3243
french-ligue-one,Rennes,169
french-ligue-one,Saint-Étienne,178
french-ligue-one,Strasbourg,180
french-ligue-one,Toulouse,179
german-bundesliga,Augsburg,3841
german-bundesliga,B Dortmund,124
german-bundesliga,B Leverkusen,131
german-bundesliga,B Mgladbach,268
german-bundesliga,Bayern Munich,132
german-bundesliga,Düsseldorf,9707
german-bundesliga,Frankfurt,125
german-bundesliga,Freiburg,126
german-bundesliga,Hertha Berlin,129
german-bundesliga,Hoffenheim,7911
german-bundesliga,Köln,122
german-bundesliga,Mainz,2950
german-bundesliga,Paderborn,3307
german-bundesliga,RB Leipzig,11420
german-bundesliga,Schalke,133
german-bundesliga,Union Berlin,598
german-bundesliga,Werder Bremen,137
german-bundesliga,Wolfsburg,138
italian-serie-a,AC Milan,103
italian-serie-a,Atalanta,105
italian-serie-a,Bologna,107
italian-serie-a,Brescia,108
italian-serie-a,Cagliari,2925
italian-serie-a,Fiorentina,109
italian-serie-a,Genoa,3263
italian-serie-a,Hellas Verona,119
italian-serie-a,Inter Milan,110
italian-serie-a,Juventus,111
italian-serie-a,Lazio,112
italian-serie-a,Lecce,113
italian-serie-a,Napoli,114
italian-serie-a,Parma,115
italian-serie-a,Roma,104
italian-serie-a,Sampdoria,2734
italian-serie-a,Sassuolo,3997
italian-serie-a,SPAL,3958
italian-serie-a,Torino,239
italian-serie-a,Udinese,118
premier-league,Arsenal,359
premier-league,Aston Villa,362
premier-league,Bournemouth,349
premier-league,Brighton,331
premier-league,Burnley,379
premier-league,Chelsea,363
premier-league,Crystal Palace,384
premier-league,Everton,368
premier-league,Leicester,375
premier-league,Liverpool,364
premier-league,Man City,382
premier-league,Man Utd,360
premier-league,Newcastle,361
premier-league,Norwich,381
premier-league,Sheff Utd,398
premier-league,Southampton,376
premier-league,Tottenham,367
premier-league,Watford,395
premier-league,West Ham,371
premier-league,Wolves,380
spanish-la-liga,Alavés,96
spanish-la-liga,Ath Bilbao,93
spanish-la-liga,Atl Madrid,1068
spanish-la-liga,Barcelona,83
spanish-la-liga,Celta Vigo,85
spanish-la-liga,Eibar,3752
spanish-la-liga,Espanyol,88
spanish-la-liga,Getafe,2922
spanish-la-liga,Granada,3747
spanish-la-liga,Leganés,17534
spanish-la-liga,Levante,1538
spanish-la-liga,Mallorca,84
spanish-la-liga,Osasuna,97
spanish-la-liga,Real Betis,244
spanish-la-liga,Real Madrid,86
spanish-la-liga,Real Sociedad,89
spanish-la-liga,Real Valladolid,95
spanish-la-liga,Sevilla,243
spanish-la-liga,Valencia,94
spanish-la-liga,Villarreal,102
