league,date,home_team,home_team_score,away_team,away_team_score,home_team_full,away_team_full
premier-league,2019-08-09,Liverpool,4,Norwich,1,Liverpool,Norwich City
premier-league,2019-08-10,West Ham,0,Man City,5,West Ham United,Manchester City
premier-league,2019-08-10,Bournemouth,1,Sheff Utd,1,AFC Bournemouth,Sheffield United
premier-league,2019-08-10,Burnley,3,Southampton,0,Burnley,Southampton
premier-league,2019-08-10,Crystal Palace,0,Everton,0,Crystal Palace,Everton
premier-league,2019-08-10,Watford,0,Brighton,3,Watford,Brighton & Hove Albion
premier-league,2019-08-10,Tottenham,3,Aston Villa,1,Tottenham Hotspur,Aston Villa
premier-league,2019-08-11,Leicester,0,Wolves,0,Leicester City,Wolverhampton Wanderers
premier-league,2019-08-11,Newcastle,0,Arsenal,1,Newcastle United,Arsenal
premier-league,2019-08-11,Man Utd,4,Chelsea,0,Manchester United,Chelsea
premier-league,2019-08-17,Arsenal,2,Burnley,1,Arsenal,Burnley
premier-league,2019-08-17,Aston Villa,1,Bournemouth,2,Aston Villa,AFC Bournemouth
premier-league,2019-08-17,Brighton,1,West Ham,1,Brighton & Hove Albion,West Ham United
premier-league,2019-08-17,Everton,1,Watford,0,Everton,Watford
premier-league,2019-08-17,Norwich,3,Newcastle,1,Norwich City,Newcastle United
premier-league,2019-08-17,Southampton,1,Liverpool,2,Southampton,Liverpool
premier-league,2019-08-17,Man City,2,Tottenham,2,Manchester City,Tottenham Hotspur
premier-league,2019-08-18,Sheff Utd,1,Crystal Palace,0,Sheffield United,Crystal Palace
premier-league,2019-08-18,Chelsea,1,Leicester,1,Chelsea,Leicester City
premier-league,2019-08-19,Wolves,1,Man Utd,1,Wolverhampton Wanderers,Manchester United
premier-league,2019-08-23,Aston Villa,2,Everton,0,Aston Villa,Everton
premier-league,2019-08-24,Norwich,2,Chelsea,3,Norwich City,Chelsea
premier-league,2019-08-24,Brighton,0,Southampton,2,Brighton & Hove Albion,Southampton
premier-league,2019-08-24,Man Utd,1,Crystal Palace,2,Manchester United,Crystal Palace
premier-league,2019-08-24,Sheff Utd,1,Leicester,2,Sheffield United,Leicester City
premier-league,2019-08-24,Watford,1,West Ham,3,Watford,West Ham United
premier-league,2019-08-24,Liverpool,3,Arsenal,1,Liverpool,Arsenal
premier-league,2019-08-25,Bournemouth,1,Man City,3,AFC Bournemouth,Manchester City
premier-league,2019-08-25,Tottenham,0,Newcastle,1,Tottenham Hotspur,Newcastle United
premier-league,2019-08-25,Wolves,1,Burnley,1,Wolverhampton Wanderers,Burnley
premier-league,2019-08-31,Southampton,1,Man Utd,1,Southampton,Manchester United
premier-league,2019-08-31,Chelsea,2,Sheff Utd,2,Chelsea,Sheffield United
premier-league,2019-08-31,Crystal Palace,1,Aston Villa,0,Crystal Palace,Aston Villa
premier-league,2019-08-31,Leicester,3,Bournemouth,1,Leicester City,AFC Bournemouth
premier-league,2019-08-31,Man City,4,Brighton,0,Manchester City,Brighton & Hove Albion
premier-league,2019-08-31,Newcastle,1,Watford,1,Newcastle United,Watford
premier-league,2019-08-31,West Ham,2,Norwich,0,West Ham United,Norwich City
premier-league,2019-08-31,Burnley,0,Liverpool,3,Burnley,Liverpool
premier-league,2019-09-01,Everton,3,Wolves,2,Everton,Wolverhampton Wanderers
premier-league,2019-09-01,Arsenal,2,Tottenham,2,Arsenal,Tottenham Hotspur
premier-league,2019-09-14,Liverpool,3,Newcastle,1,Liverpool,Newcastle United
premier-league,2019-09-14,Brighton,1,Burnley,1,Brighton & Hove Albion,Burnley
premier-league,2019-09-14,Man Utd,1,Leicester,0,Manchester United,Leicester City
premier-league,2019-09-14,Sheff Utd,0,Southampton,1,Sheffield United,Southampton
premier-league,2019-09-14,Tottenham,4,Crystal Palace,0,Tottenham Hotspur,Crystal Palace
premier-league,2019-09-14,Wolves,2,Chelsea,5,Wolverhampton Wanderers,Chelsea
premier-league,2019-09-14,Norwich,3,Man City,2,Norwich City,Manchester City
premier-league,2019-09-15,Bournemouth,3,Everton,1,AFC Bournemouth,Everton
premier-league,2019-09-15,Watford,2,Arsenal,2,Watford,Arsenal
premier-league,2019-09-16,Aston Villa,0,West Ham,0,Aston Villa,West Ham United
premier-league,2019-09-20,Southampton,1,Bournemouth,3,Southampton,AFC Bournemouth
premier-league,2019-09-21,Leicester,2,Tottenham,1,Leicester City,Tottenham Hotspur
premier-league,2019-09-21,Burnley,2,Norwich,0,Burnley,Norwich City
premier-league,2019-09-21,Everton,0,Sheff Utd,2,Everton,Sheffield United
premier-league,2019-09-21,Man City,8,Watford,0,Manchester City,Watford
premier-league,2019-09-21,Newcastle,0,Brighton,0,Newcastle United,Brighton & Hove Albion
premier-league,2019-09-22,Crystal Palace,1,Wolves,1,Crystal Palace,Wolverhampton Wanderers
premier-league,2019-09-22,West Ham,2,Man Utd,0,West Ham United,Manchester United
premier-league,2019-09-22,Arsenal,3,Aston Villa,2,Arsenal,Aston Villa
premier-league,2019-09-22,Chelsea,1,Liverpool,2,Chelsea,Liverpool
premier-league,2019-09-28,Sheff Utd,0,Liverpool,1,Sheffield United,Liverpool
