date,away_team,home_team,away_team_score,home_team_score
20181016,PHI,BOS,87,105
20181016,OKC,GSW,100,108
20181017,MIL,CHA,113,112
20181017,BKN,DET,100,103
20181017,MEM,IND,83,111
20181017,MIA,ORL,101,104
20181017,ATL,NYK,107,126
20181017,CLE,TOR,104,116
20181017,NOP,HOU,131,112
20181017,MIN,SAS,108,112
20181017,UTA,SAC,123,117
20181017,DEN,LAC,107,98
20181017,DAL,PHX,100,121
20181018,CHI,PHI,108,127
20181018,MIA,WAS,113,112
20181018,LAL,POR,119,128
20181019,CHA,ORL,120,88
20181019,NYK,BKN,105,107
20181019,BOS,TOR,101,113
20181019,ATL,MEM,117,131
20181019,CLE,MIN,123,131
20181019,SAC,NOP,129,149
20181019,IND,MIL,101,118
20181019,GSW,UTA,124,123
20181019,OKC,LAC,92,108
20181020,BKN,IND,112,132
20181020,TOR,WAS,117,113
20181020,BOS,NYK,103,101
20181020,ORL,PHI,115,116
20181020,CHA,MIA,113,112
20181020,DET,CHI,118,116
20181020,MIN,DAL,136,140
20181020,PHX,DEN,91,119
20181020,SAS,POR,108,121
20181020,HOU,LAL,124,115
20181021,ATL,CLE,133,111
20181021,SAC,OKC,131,120
20181021,GSW,DEN,98,100
20181021,HOU,LAC,112,115
20181022,ORL,BOS,93,90
20181022,CHA,TOR,106,127
20181022,NYK,MIL,113,124
20181022,IND,MIN,91,101
20181022,CHI,DAL,109,115
20181022,MEM,UTA,92,84
20181022,WAS,POR,125,124
20181022,PHX,GSW,103,123
20181022,SAS,LAL,143,142
20181023,PHI,DET,132,133
20181023,LAC,NOP,109,116
20181023,SAC,DEN,112,126
20181024,DAL,ATL,104,111
20181024,BKN,CLE,102,86
20181024,NYK,MIA,87,110
20181024,MIN,TOR,105,112
20181024,CHA,CHI,110,112
20181024,UTA,HOU,100,89
20181024,IND,SAS,116,96
20181024,PHI,MIL,108,123
20181024,LAL,PHX,131,113
20181024,MEM,SAC,92,97
20181024,WAS,GSW,122,144
20181025,CLE,DET,103,110
20181025,POR,ORL,128,114
20181025,BOS,OKC,101,95
20181025,DEN,LAL,114,121
20181026,CHI,CHA,106,135
20181026,GSW,NYK,128,100
20181026,DAL,TOR,107,116
20181026,LAC,HOU,133,113
20181026,MIL,MIN,125,95
20181026,BKN,NOP,115,117
20181026,WAS,SAC,112,116
20181027,BOS,DET,109,89
20181027,UTA,NOP,132,111
20181027,CHI,ATL,97,85
20181027,IND,CLE,119,107
20181027,CHA,PHI,103,105
20181027,POR,MIA,111,120
20181027,PHX,MEM,96,117
20181027,ORL,MIL,91,113
20181027,LAL,SAS,106,110
20181028,GSW,BKN,120,114
20181028,UTA,DAL,113,104
20181028,PHX,OKC,110,117
20181028,WAS,LAC,104,136
20181029,POR,IND,103,93
20181029,ATL,PHI,92,113
20181029,SAC,MIA,123,113
20181029,BKN,NYK,96,115
20181029,GSW,CHI,149,124
20181029,TOR,MIL,109,124
20181029,LAL,MIN,120,124
20181029,DAL,SAS,108,113
20181029,NOP,DEN,111,116
20181030,MIA,CHA,113,125
20181030,ATL,CLE,114,136
20181030,SAC,ORL,107,99
20181030,DET,BOS,105,108
20181030,PHI,TOR,112,129
20181030,POR,HOU,104,85
20181030,WAS,MEM,95,107
20181030,LAC,OKC,110,128
20181031,DET,BKN,119,120
20181031,IND,NYK,107,101
20181031,DEN,CHI,108,107
20181031,UTA,MIN,125,128
20181031,NOP,GSW,121,131
20181031,DAL,LAL,113,114
20181031,SAS,PHX,120,90
20181101,OKC,CHA,111,107
20181101,DEN,CLE,110,91
20181101,LAC,PHI,113,122
20181101,SAC,ATL,146,115
20181101,MIL,BOS,113,117
20181101,NOP,POR,119,132
20181102,LAC,ORL,120,95
20181102,HOU,BKN,119,111
20181102,OKC,WAS,134,111
20181102,IND,CHI,107,105
20181102,NYK,DAL,118,106
20181102,MEM,UTA,110,100
20181102,TOR,PHX,107,98
20181102,MIN,GSW,99,116
20181103,DET,PHI,99,109
20181103,CLE,CHA,94,126
20181103,BOS,IND,101,102
20181103,MIA,ATL,118,123
20181103,HOU,CHI,96,88
20181103,NOP,SAS,95,109
20181103,UTA,DEN,88,103
20181103,LAL,POR,114,110
20181104,SAC,MIL,109,144
20181104,PHI,BKN,97,122
20181104,NYK,WAS,95,108
20181104,ORL,SAS,117,110
20181104,MEM,PHX,100,102
20181104,MIN,POR,81,111
20181104,TOR,LAL,121,107
20181105,MIA,DET,120,115
20181105,HOU,IND,98,94
20181105,CLE,ORL,100,102
20181105,CHI,NYK,116,115
20181105,NOP,OKC,116,122
20181105,BOS,DEN,107,115
20181105,TOR,UTA,124,111
20181105,MEM,GSW,101,117
20181105,MIN,LAC,109,120
20181106,ATL,CHA,102,113
20181106,WAS,DAL,100,119
20181106,BKN,PHX,104,82
20181106,MIL,POR,103,118
20181107,OKC,CLE,95,86
20181107,DET,ORL,103,96
20181107,NYK,ATL,112,107
20181107,SAS,MIA,88,95
20181107,PHI,IND,100,94
20181107,DEN,MEM,87,89
20181107,CHI,NOP,98,107
20181107,DAL,UTA,102,117
20181107,TOR,SAC,114,105
20181107,MIN,LAL,110,114
20181108,HOU,OKC,80,98
20181108,BOS,PHX,116,109
20181108,LAC,POR,105,116
20181108,MIL,GSW,134,111
20181109,WAS,ORL,108,117
20181109,CHA,PHI,132,133
20181109,DET,ATL,124,109
20181109,IND,MIA,110,102
20181109,BKN,DEN,112,110
20181109,BOS,UTA,115,123
